Rule ID,Description,URL,,,,,
S2166,"Classes named like ""Exception"" should extend ""Exception"" or a subclass",https://rules.sonarsource.com/java/RSPEC-2166,,,,,
S2167,"""compareTo"" should not return ""Integer.MIN_VALUE""",https://rules.sonarsource.com/java/RSPEC-2167,,,,,
S2168,Double-checked locking should not be used,https://rules.sonarsource.com/java/RSPEC-2168,,,,,
S2175,"Inappropriate ""Collection"" calls should not be made",https://rules.sonarsource.com/java/RSPEC-2175,,,,,
S2176,Class names should not shadow interfaces or superclasses,https://rules.sonarsource.com/java/RSPEC-2176,,,,,
S2177,Child class methods named for parent class methods should be overrides,https://rules.sonarsource.com/java/RSPEC-2177,,,,,
S2178,Short-circuit logic should be used in boolean contexts,https://rules.sonarsource.com/java/RSPEC-2178,,,,,
S2183,Ints and longs should not be shifted by zero or more than their number of bits-1,https://rules.sonarsource.com/java/RSPEC-2183,,,,,
S2184,Math operands should be cast before assignment,https://rules.sonarsource.com/java/RSPEC-2184,,,,,
S2185,Silly math should not be performed,https://rules.sonarsource.com/java/RSPEC-2185,,,,,
S2186,"JUnit assertions should not be used in ""run"" methods",https://rules.sonarsource.com/java/RSPEC-2186,,,,,
S2188,JUnit test cases should call super methods,https://rules.sonarsource.com/java/RSPEC-2188,,,,,
S2189,Loops should not be infinite,https://rules.sonarsource.com/java/RSPEC-2189,,,,,
S2200,"""compareTo"" results should not be checked for specific values",https://rules.sonarsource.com/java/RSPEC-2200,,,,,
S2201,Return values from functions without side effects should not be ignored,https://rules.sonarsource.com/java/RSPEC-2201,,,,,
S2204,""".equals()"" should not be used to test the values of ""Atomic"" classes",https://rules.sonarsource.com/java/RSPEC-2204,,,,,
S2209,"""static"" members should be accessed statically",https://rules.sonarsource.com/java/RSPEC-2209,,,,,
S2222,Locks should be released,https://rules.sonarsource.com/java/RSPEC-2222,,,,,
S2225,"""toString()"" and ""clone()"" methods should not return null",https://rules.sonarsource.com/java/RSPEC-2225,,,,,
S2226,Servlets should not have mutable instance fields,https://rules.sonarsource.com/java/RSPEC-2226,,,,,
S2230,"Non-public methods should not be ""@Transactional""",https://rules.sonarsource.com/java/RSPEC-2230,,,,,
S2232,"""ResultSet.isLast()"" should not be used",https://rules.sonarsource.com/java/RSPEC-2232,,,,,
S2234,Parameters should be passed in the correct order,https://rules.sonarsource.com/java/RSPEC-2234,,,,,
S2235,IllegalMonitorStateException should not be caught,https://rules.sonarsource.com/java/RSPEC-2235,,,,,
S2236,"Methods ""wait(...)"", ""notify()"" and ""notifyAll()"" should not be called on Thread instances",https://rules.sonarsource.com/java/RSPEC-2236,,,,,
S2251,"A ""for"" loop update clause should move the counter in the right direction",https://rules.sonarsource.com/java/RSPEC-2251,,,,,
S2252,Loop conditions should be true at least once,https://rules.sonarsource.com/java/RSPEC-2252,,,,,
S2254,"""HttpServletRequest.getRequestedSessionId()"" should not be used",https://rules.sonarsource.com/java/RSPEC-2254,,,,,
S2259,Null pointers should not be dereferenced,https://rules.sonarsource.com/java/RSPEC-2259,,,,,
S2272,"""Iterator.next()"" methods should throw ""NoSuchElementException""",https://rules.sonarsource.com/java/RSPEC-2272,,,,,
S2273,"""wait"", ""notify"" and ""notifyAll"" should only be called when a lock is obviously held on an object",https://rules.sonarsource.com/java/RSPEC-2273,,,,,
S2274,"""Object.wait(...)"" and ""Condition.await(...)"" should be called inside a ""while"" loop",https://rules.sonarsource.com/java/RSPEC-2274,,,,,
S2275,Printf-style format strings should not lead to unexpected behavior at runtime,https://rules.sonarsource.com/java/RSPEC-2275,,,,,
S2276,"""wait(...)"" should be used instead of ""Thread.sleep(...)"" when a lock is held",https://rules.sonarsource.com/java/RSPEC-2276,,,,,
S2277,Cryptographic RSA algorithms should always incorporate OAEP (Optimal Asymmetric Encryption Padding),https://rules.sonarsource.com/java/RSPEC-2277,,,,,
S2278,Neither DES (Data Encryption Standard) nor DESede (3DES) should be used,https://rules.sonarsource.com/java/RSPEC-2278,,,,,
S2293,"The diamond operator (""<>"") should be used",https://rules.sonarsource.com/java/RSPEC-2293,,,,,
S2386,"Mutable fields should not be ""public static""",https://rules.sonarsource.com/java/RSPEC-2386,,,,,
S2387,Child class fields should not shadow parent class fields,https://rules.sonarsource.com/java/RSPEC-2387,,,,,
S2388,Inner class calls to super class methods should be unambiguous,https://rules.sonarsource.com/java/RSPEC-2388,,,,,
S2390,Classes should not access their own subclasses during initialization,https://rules.sonarsource.com/java/RSPEC-2390,,,,,
S2391,JUnit framework methods should be declared properly,https://rules.sonarsource.com/java/RSPEC-2391,,,,,
S2437,Silly bit operations should not be performed,https://rules.sonarsource.com/java/RSPEC-2437,,,,,
S2438,"""Threads"" should not be used where ""Runnables"" are expected",https://rules.sonarsource.com/java/RSPEC-2438,,,,,
S2440,"Classes with only ""static"" methods should not be instantiated",https://rules.sonarsource.com/java/RSPEC-2440,,,,,
S2441,"Non-serializable objects should not be stored in ""HttpSession"" objects",https://rules.sonarsource.com/java/RSPEC-2441,,,,,
S2442,"""Lock"" objects should not be ""synchronized""",https://rules.sonarsource.com/java/RSPEC-2442,,,,,
S2445,"Blocks should be synchronized on ""private final"" fields",https://rules.sonarsource.com/java/RSPEC-2445,,,,,
S2446,"""notifyAll"" should be used",https://rules.sonarsource.com/java/RSPEC-2446,,,,,
S2447,"Null should not be returned from a ""Boolean"" method",https://rules.sonarsource.com/java/RSPEC-2447,,,,,
S2583,Conditionally executed blocks should be reachable,https://rules.sonarsource.com/java/RSPEC-2583,,,,,
S2589,Boolean expressions should not be gratuitous,https://rules.sonarsource.com/java/RSPEC-2589,,,,,
S2637,"""@NonNull"" values should not be set to null",https://rules.sonarsource.com/java/RSPEC-2637,,,,,
S2638,Method overrides should not change contracts,https://rules.sonarsource.com/java/RSPEC-2638,,,,,
S2639,Inappropriate regular expressions should not be used,https://rules.sonarsource.com/java/RSPEC-2639,,,,,
S2675,"""readObject"" should not be ""synchronized""",https://rules.sonarsource.com/java/RSPEC-2675,,,,,
S2676,"Neither ""Math.abs"" nor negation should be used on numbers that could be ""MIN_VALUE""",https://rules.sonarsource.com/java/RSPEC-2676,,,,,
S2677,"""read"" and ""readLine"" return values should be used",https://rules.sonarsource.com/java/RSPEC-2677,,,,,
S2681,Multiline blocks should be enclosed in curly braces,https://rules.sonarsource.com/java/RSPEC-2681,,,,,
S2692,"""indexOf"" checks should not be for positive numbers",https://rules.sonarsource.com/java/RSPEC-2692,,,,,
S2695,"""PreparedStatement"" and ""ResultSet"" methods should be called with valid indices",https://rules.sonarsource.com/java/RSPEC-2695,,,,,
S2737,"""catch"" clauses should do more than rethrow",https://rules.sonarsource.com/java/RSPEC-2737,,,,,
S2757,"""=+"" should not be used instead of ""+=""",https://rules.sonarsource.com/java/RSPEC-2757,,,,,
S2761,Unary prefix operators should not be repeated,https://rules.sonarsource.com/java/RSPEC-2761,,,,,
S2786,"Nested ""enum""s should not be declared static",https://rules.sonarsource.com/java/RSPEC-2786,,,,,
S2789,"""null"" should not be used with ""Optional""",https://rules.sonarsource.com/java/RSPEC-2789,,,,,
S2885,Non-thread-safe fields should not be static,https://rules.sonarsource.com/java/RSPEC-2885,,,,,
S2886,Getters and setters should be synchronized in pairs,https://rules.sonarsource.com/java/RSPEC-2886,,,,,
S2925,"""Thread.sleep"" should not be used in tests",https://rules.sonarsource.com/java/RSPEC-2925,,,,,
S2970,Assertions should be complete,https://rules.sonarsource.com/java/RSPEC-2970,,,,,
S2976,"""File.createTempFile"" should not be used to create a directory",https://rules.sonarsource.com/java/RSPEC-2976,,,,,
S3008,Static non-final field names should comply with a naming convention,https://rules.sonarsource.com/java/RSPEC-3008,,,,,
S3010,Static fields should not be updated in constructors,https://rules.sonarsource.com/java/RSPEC-3010,,,,,
S3020,"""toArray"" should be passed an array of the proper type",https://rules.sonarsource.com/java/RSPEC-3020,,,,,
S3027,String function use should be optimized for single characters,https://rules.sonarsource.com/java/RSPEC-3027,,,,,
S3034,Raw byte values should not be used in bitwise operations in combination with shifts,https://rules.sonarsource.com/java/RSPEC-3034,,,,,
S3038,Abstract methods should not be redundant,https://rules.sonarsource.com/java/RSPEC-3038,,,,,
S3042,"""writeObject"" should not be the only ""synchronized"" code in a class",https://rules.sonarsource.com/java/RSPEC-3042,,,,,
S3046,"""wait"" should not be called when multiple locks are held",https://rules.sonarsource.com/java/RSPEC-3046,,,,,
S3066,"""enum"" fields should not be publicly mutable",https://rules.sonarsource.com/java/RSPEC-3066,,,,,
S3067,"""getClass"" should not be used for synchronization",https://rules.sonarsource.com/java/RSPEC-3067,,,,,
S3281,"Default EJB interceptors should be declared in ""ejb-jar.xml""",https://rules.sonarsource.com/java/RSPEC-3281,,,,,
S3358,Ternary operators should not be nested,https://rules.sonarsource.com/java/RSPEC-3358,,,,,
S3398,"""private"" methods called only by inner classes should be moved to those classes",https://rules.sonarsource.com/java/RSPEC-3398,,,,,
S3400,Methods should not return constants,https://rules.sonarsource.com/java/RSPEC-3400,,,,,
S3415,Assertion arguments should be passed in the correct order,https://rules.sonarsource.com/java/RSPEC-3415,,,,,
S3421,"Deprecated ""${pom}"" properties should not be used",https://rules.sonarsource.com/java/RSPEC-3421,,,,,
S3436,Value-based classes should not be used for locking,https://rules.sonarsource.com/java/RSPEC-3436,,,,,
S3438,"""SingleConnectionFactory"" instances should be set to ""reconnectOnException""",https://rules.sonarsource.com/java/RSPEC-3438,,,,,
S3457,Printf-style format strings should be used correctly,https://rules.sonarsource.com/java/RSPEC-3457,,,,,
S3516,Methods returns should not be invariant,https://rules.sonarsource.com/java/RSPEC-3516,,,,,
S3518,Zero should not be a possible denominator,https://rules.sonarsource.com/java/RSPEC-3518,,,,,
S3599,Double Brace Initialization should not be used,https://rules.sonarsource.com/java/RSPEC-3599,,,,,
S3626,Jump statements should not be redundant,https://rules.sonarsource.com/java/RSPEC-3626,,,,,
S3824,"""Map.get"" and value test should be replaced with single method call",https://rules.sonarsource.com/java/RSPEC-3824,,,,,
S3878,Arrays should not be created for varargs parameters,https://rules.sonarsource.com/java/RSPEC-3878,,,,,
S3923,All branches in a conditional structure should not have exactly the same implementation,https://rules.sonarsource.com/java/RSPEC-3923,,,,,
S3958,Intermediate Stream methods should not be left unused,https://rules.sonarsource.com/java/RSPEC-3958,,,,,
S3959,Consumed Stream pipelines should not be reused,https://rules.sonarsource.com/java/RSPEC-3959,,,,,
S3972,Conditionals should start on new lines,https://rules.sonarsource.com/java/RSPEC-3972,,,,,
S3973,Conditionally executed code should be denoted by either indentation or curly braces,https://rules.sonarsource.com/java/RSPEC-3973,,,,,
S3981,Collection sizes and array length comparisons should make sense,https://rules.sonarsource.com/java/RSPEC-3981,,,,,
S3984,Exception should not be created without being thrown,https://rules.sonarsource.com/java/RSPEC-3984,,,,,
S3986,"Week Year (""YYYY"") should not be used for date formatting",https://rules.sonarsource.com/java/RSPEC-3986,,,,,
S4034,"""Stream"" call chains should be simplified when possible",https://rules.sonarsource.com/java/RSPEC-4034,,,,,
S4065,"""ThreadLocal.withInitial"" should be preferred",https://rules.sonarsource.com/java/RSPEC-4065,,,,,
S4087,"""close()"" calls should not be redundant",https://rules.sonarsource.com/java/RSPEC-4087,,,,,
S4143,Map values should not be replaced unconditionally,https://rules.sonarsource.com/java/RSPEC-4143,,,,,
S4144,Methods should not have identical implementations,https://rules.sonarsource.com/java/RSPEC-4144,,,,,
S4165,Assignments should not be redundant,https://rules.sonarsource.com/java/RSPEC-4165,,,,,
S4201,"Null checks should not be used with ""instanceof""",https://rules.sonarsource.com/java/RSPEC-4201,,,,,
S4274,Asserts should not be used to check the parameters of a public method,https://rules.sonarsource.com/java/RSPEC-4274,,,,,
S4275,Getters and setters should access the expected fields,https://rules.sonarsource.com/java/RSPEC-4275,,,,,
S4347,"""SecureRandom"" seeds should not be predictable",https://rules.sonarsource.com/java/RSPEC-4347,,,,,
S4351,"""compareTo"" should not be overloaded",https://rules.sonarsource.com/java/RSPEC-4351,,,,,
S4425,"""Integer.toHexString"" should not be used to build hexadecimal strings",https://rules.sonarsource.com/java/RSPEC-4425,,,,,
S4434,LDAP deserialization should be disabled,https://rules.sonarsource.com/java/RSPEC-4434,,,,,
S4449,Nullness of parameters should be guaranteed,https://rules.sonarsource.com/java/RSPEC-4449,,,,,
S4454,"""equals"" method parameters should not be marked ""@Nonnull""",https://rules.sonarsource.com/java/RSPEC-4454,,,,,
S4524,"""default"" clauses should be last",https://rules.sonarsource.com/java/RSPEC-4524,,,,,
S107,Methods should not have too many parameters,https://rules.sonarsource.com/java/RSPEC-107,,,,,
S110,Inheritance tree of classes should not be too deep,https://rules.sonarsource.com/java/RSPEC-110,,,,,
S127,"""for"" loop stop conditions should be invariant",https://rules.sonarsource.com/java/RSPEC-127,,,,,
S135,"Loops should not contain more than a single ""break"" or ""continue"" statement",https://rules.sonarsource.com/java/RSPEC-135,,,,,
S1141,Try-catch blocks should not be nested,https://rules.sonarsource.com/java/RSPEC-1141,,,,,
S3776,Cognitive Complexity of methods should not be too high,https://rules.sonarsource.com/java/RSPEC-3776,,,,,
S1199,Nested code blocks should not be used,https://rules.sonarsource.com/java/RSPEC-1199,,,,,
S2092,"Cookies should be ""secure""",https://rules.sonarsource.com/java/RSPEC-2092,,,,,
S2975,"""clone"" should not be overridden",https://rules.sonarsource.com/java/RSPEC-2975,,,,,
S4423,Weak SSLContexts should not be used,https://rules.sonarsource.com/java/RSPEC-4423,,,,,
S4426,Cryptographic keys should not be too short,https://rules.sonarsource.com/java/RSPEC-4426,,,,,
S4432,AES encryption algorithm should be used with secured mode,https://rules.sonarsource.com/java/RSPEC-4432,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
